[2017-12-21 14:47:00,089]-[log.py]-INFO:输入用户名
[2017-12-21 14:47:02,495]-[log.py]-INFO:输入密码
[2017-12-21 14:47:02,853]-[log.py]-INFO:点击登录
[2017-12-21 14:47:18,680]-[log.py]-INFO:输入用户名
[2017-12-21 14:47:18,717]-[log.py]-INFO:输入密码
[2017-12-21 14:47:18,774]-[log.py]-INFO:点击登录
[2017-12-21 14:47:26,985]-[log.py]-INFO:输入用户名
[2017-12-21 14:47:27,020]-[log.py]-INFO:输入密码
[2017-12-21 14:47:27,081]-[log.py]-INFO:点击登录
[2017-12-21 14:47:40,703]-[log.py]-INFO:输入用户名
[2017-12-21 14:47:40,794]-[log.py]-INFO:输入密码
[2017-12-21 14:47:41,465]-[log.py]-INFO:点击登录
[2017-12-21 14:47:55,869]-[log.py]-INFO:输入用户名
[2017-12-21 14:47:56,072]-[log.py]-INFO:输入密码
[2017-12-21 14:47:57,651]-[log.py]-INFO:点击登录
