[2017-12-18 11:43:05,081]-[log.py]-INFO:获取网址
[2017-12-18 11:43:09,379]-[log.py]-INFO:关闭提示框
[2017-12-18 11:43:44,606]-[log.py]-INFO:获取网址
[2017-12-18 11:43:46,026]-[log.py]-INFO:关闭提示框
[2017-12-18 11:43:46,028]-[log.py]-INFO:输入用户名
[2017-12-18 11:43:46,261]-[log.py]-INFO:输入密码
[2017-12-18 11:43:46,367]-[log.py]-INFO:点击登录
[2017-12-18 11:44:46,175]-[log.py]-INFO:获取网址
[2017-12-18 11:44:47,984]-[log.py]-INFO:关闭提示框
[2017-12-18 11:44:48,008]-[log.py]-INFO:输入用户名
[2017-12-18 11:44:48,066]-[log.py]-INFO:输入密码
[2017-12-18 11:44:48,107]-[log.py]-INFO:点击登录
[2017-12-18 11:45:21,002]-[log.py]-INFO:获取网址
[2017-12-18 11:45:22,575]-[log.py]-INFO:关闭提示框
[2017-12-18 11:45:22,577]-[log.py]-INFO:输入用户名
[2017-12-18 11:45:22,646]-[log.py]-INFO:输入密码
[2017-12-18 11:45:23,688]-[log.py]-INFO:点击登录
[2017-12-18 11:46:30,025]-[log.py]-INFO:获取网址
[2017-12-18 11:46:32,071]-[log.py]-INFO:关闭提示框
[2017-12-18 11:46:32,072]-[log.py]-INFO:输入用户名
[2017-12-18 11:46:32,144]-[log.py]-INFO:输入密码
[2017-12-18 11:46:33,183]-[log.py]-INFO:点击登录
[2017-12-18 11:51:18,576]-[log.py]-INFO:获取网址
[2017-12-18 11:51:20,146]-[log.py]-INFO:关闭提示框
[2017-12-18 12:25:10,742]-[log.py]-INFO:获取网址
[2017-12-18 12:25:12,528]-[log.py]-INFO:关闭提示框
[2017-12-18 12:25:12,879]-[log.py]-INFO:输入用户名
[2017-12-18 12:25:12,926]-[log.py]-INFO:输入密码
[2017-12-18 12:25:12,955]-[log.py]-INFO:点击登录
[2017-12-18 12:25:12,990]-[log.py]-INFO:获取网址
[2017-12-18 12:25:14,530]-[log.py]-INFO:稍后咨询
[2017-12-18 15:09:31,345]-[log.py]-INFO:获取网址
[2017-12-18 15:09:34,931]-[log.py]-INFO:关闭提示框
[2017-12-18 15:09:35,039]-[log.py]-INFO:输入用户名
[2017-12-18 15:09:35,066]-[log.py]-INFO:输入密码
[2017-12-18 15:09:35,088]-[log.py]-INFO:点击登录
[2017-12-18 15:09:35,123]-[log.py]-INFO:获取网址
[2017-12-18 15:09:36,313]-[log.py]-INFO:稍后咨询
[2017-12-18 15:34:23,006]-[log.py]-INFO:获取网址
[2017-12-18 15:34:24,711]-[log.py]-INFO:关闭提示框
[2017-12-18 15:34:24,789]-[log.py]-INFO:输入用户名
[2017-12-18 15:34:24,821]-[log.py]-INFO:输入密码
[2017-12-18 15:34:24,847]-[log.py]-INFO:点击登录
[2017-12-18 15:34:24,889]-[log.py]-INFO:获取网址
[2017-12-18 15:34:26,244]-[log.py]-INFO:稍后咨询
[2017-12-18 15:34:58,763]-[log.py]-INFO:获取网址
[2017-12-18 15:35:00,246]-[log.py]-INFO:关闭提示框
[2017-12-18 15:35:00,322]-[log.py]-INFO:输入用户名
[2017-12-18 15:35:00,349]-[log.py]-INFO:输入密码
[2017-12-18 15:35:00,369]-[log.py]-INFO:点击登录
[2017-12-18 15:35:00,410]-[log.py]-INFO:获取网址
[2017-12-18 15:35:01,607]-[log.py]-INFO:稍后咨询
[2017-12-18 15:38:25,315]-[log.py]-INFO:关闭提示框
[2017-12-18 15:38:25,410]-[log.py]-INFO:输入用户名
[2017-12-18 15:38:25,444]-[log.py]-INFO:输入密码
[2017-12-18 15:38:25,465]-[log.py]-INFO:点击登录
[2017-12-18 15:38:25,501]-[log.py]-INFO:稍后咨询
[2017-12-18 15:41:45,534]-[log.py]-INFO:关闭提示框
[2017-12-18 15:41:45,645]-[log.py]-INFO:输入用户名
[2017-12-18 15:41:45,677]-[log.py]-INFO:输入密码
[2017-12-18 15:41:45,699]-[log.py]-INFO:点击登录
[2017-12-18 15:41:45,738]-[log.py]-INFO:关闭提示框
[2017-12-18 15:43:05,893]-[log.py]-INFO:输入用户名
[2017-12-18 15:43:05,971]-[log.py]-INFO:输入密码
[2017-12-18 15:43:05,997]-[log.py]-INFO:点击登录
[2017-12-18 15:43:06,037]-[log.py]-INFO:输入用户名
[2017-12-18 15:43:06,056]-[log.py]-INFO:输入密码
[2017-12-18 15:43:06,092]-[log.py]-INFO:点击登录
[2017-12-18 15:43:06,124]-[log.py]-INFO:输入用户名
[2017-12-18 15:43:06,156]-[log.py]-INFO:输入密码
[2017-12-18 15:43:06,185]-[log.py]-INFO:点击登录
[2017-12-18 15:43:07,520]-[log.py]-INFO:输入用户名
[2017-12-18 15:43:07,574]-[log.py]-INFO:输入密码
[2017-12-18 15:43:07,604]-[log.py]-INFO:点击登录
[2017-12-18 15:43:07,624]-[log.py]-INFO:输入用户名
[2017-12-18 15:43:07,648]-[log.py]-INFO:输入密码
[2017-12-18 15:43:07,676]-[log.py]-INFO:点击登录
[2017-12-18 16:00:40,729]-[log.py]-INFO:输入用户名
[2017-12-18 16:00:40,799]-[log.py]-INFO:输入密码
[2017-12-18 16:00:40,829]-[log.py]-INFO:点击登录
[2017-12-18 16:01:56,049]-[log.py]-INFO:输入用户名
[2017-12-18 16:01:56,123]-[log.py]-INFO:输入密码
[2017-12-18 16:01:56,163]-[log.py]-INFO:点击登录
[2017-12-18 16:02:48,248]-[log.py]-INFO:输入用户名
[2017-12-18 16:02:48,310]-[log.py]-INFO:输入密码
[2017-12-18 16:02:48,335]-[log.py]-INFO:点击登录
[2017-12-18 16:02:48,380]-[log.py]-INFO:输入用户名
[2017-12-18 16:02:48,438]-[log.py]-INFO:输入密码
[2017-12-18 16:02:48,628]-[log.py]-INFO:点击登录
[2017-12-18 16:02:48,687]-[log.py]-INFO:输入用户名
[2017-12-18 16:02:48,728]-[log.py]-INFO:输入密码
[2017-12-18 16:02:48,755]-[log.py]-INFO:点击登录
[2017-12-18 16:02:50,738]-[log.py]-INFO:输入用户名
[2017-12-18 16:02:50,817]-[log.py]-INFO:输入密码
[2017-12-18 16:02:50,851]-[log.py]-INFO:点击登录
[2017-12-18 16:02:50,889]-[log.py]-INFO:输入用户名
[2017-12-18 16:02:50,920]-[log.py]-INFO:输入密码
[2017-12-18 16:02:50,955]-[log.py]-INFO:点击登录
[2017-12-18 16:13:38,995]-[log.py]-INFO:输入用户名
[2017-12-18 16:13:39,101]-[log.py]-INFO:输入密码
[2017-12-18 16:13:39,241]-[log.py]-INFO:点击登录
[2017-12-18 16:13:39,304]-[log.py]-INFO:输入用户名
[2017-12-18 16:13:39,346]-[log.py]-INFO:输入密码
[2017-12-18 16:13:39,394]-[log.py]-INFO:点击登录
[2017-12-18 16:13:39,429]-[log.py]-INFO:输入用户名
[2017-12-18 16:13:39,462]-[log.py]-INFO:输入密码
[2017-12-18 16:13:39,480]-[log.py]-INFO:点击登录
[2017-12-18 16:13:40,567]-[log.py]-INFO:输入用户名
[2017-12-18 16:13:40,616]-[log.py]-INFO:输入密码
[2017-12-18 16:13:40,650]-[log.py]-INFO:点击登录
[2017-12-18 16:16:17,295]-[log.py]-INFO:输入用户名
[2017-12-18 16:16:17,385]-[log.py]-INFO:输入密码
[2017-12-18 16:16:17,413]-[log.py]-INFO:点击登录
[2017-12-18 16:16:18,474]-[log.py]-INFO:输入用户名
[2017-12-18 16:16:18,506]-[log.py]-INFO:输入密码
[2017-12-18 16:16:18,533]-[log.py]-INFO:点击登录
[2017-12-18 16:16:19,573]-[log.py]-INFO:输入用户名
[2017-12-18 16:16:19,681]-[log.py]-INFO:输入密码
[2017-12-18 16:16:19,701]-[log.py]-INFO:点击登录
[2017-12-18 16:16:21,648]-[log.py]-INFO:输入用户名
[2017-12-18 16:16:21,702]-[log.py]-INFO:输入密码
[2017-12-18 16:16:21,843]-[log.py]-INFO:点击登录
[2017-12-18 16:17:24,010]-[log.py]-INFO:输入用户名
[2017-12-18 16:17:24,136]-[log.py]-INFO:输入密码
[2017-12-18 16:17:24,203]-[log.py]-INFO:点击登录
[2017-12-18 16:17:25,277]-[log.py]-INFO:输入用户名
[2017-12-18 16:17:25,323]-[log.py]-INFO:输入密码
[2017-12-18 16:17:25,360]-[log.py]-INFO:点击登录
[2017-12-18 16:17:26,401]-[log.py]-INFO:输入用户名
[2017-12-18 16:17:26,442]-[log.py]-INFO:输入密码
[2017-12-18 16:17:26,462]-[log.py]-INFO:点击登录
[2017-12-18 16:17:28,250]-[log.py]-INFO:输入用户名
[2017-12-18 16:17:28,288]-[log.py]-INFO:输入密码
[2017-12-18 16:17:28,323]-[log.py]-INFO:点击登录
[2017-12-18 16:19:33,404]-[log.py]-INFO:输入用户名
[2017-12-18 16:19:33,479]-[log.py]-INFO:输入密码
[2017-12-18 16:19:33,511]-[log.py]-INFO:点击登录
[2017-12-18 16:19:34,563]-[log.py]-INFO:输入用户名
[2017-12-18 16:19:34,603]-[log.py]-INFO:输入密码
[2017-12-18 16:19:34,641]-[log.py]-INFO:点击登录
[2017-12-18 16:19:35,683]-[log.py]-INFO:输入用户名
[2017-12-18 16:19:35,727]-[log.py]-INFO:输入密码
[2017-12-18 16:19:35,753]-[log.py]-INFO:点击登录
[2017-12-18 16:19:38,065]-[log.py]-INFO:输入用户名
